KIC,TIC
2015138,137306246
2015262,137221897
2015302,137306288
2015347,137315260
2015388,137315153
2015424,137315324
2015432,137315289
2015501,137315227
2015616,137315309
2015659,137315264
2015669,137315082
2015703,137315235
2015767,137315305
2015820,137315238
2015864,137315280
2015883,137315202
2015983,351054786
2016026,351054414
2016056,351054492
2016104,351054536
2016171,351054608
2016219,351054694
2016248,351054698
2016295,351054742
2016319,351054532
2016447,351054701
2016452,351054482
2016492,351054472
2016522,351054320
2016599,351054330
2016657,137347255
2016676,137347297
2016678,137347210
2016691,137347167
2016706,137347322
2016814,137347207
2016946,137347169
2016978,137347208
2016979,137347300
2017015,137347224
2017075,137347287
2017135,137347356
2017157,137347251
2017161,137347254
2017221,137347269
2017224,137347265
2017246,137347361
2017470,137487489
2017529,137487691
2017534,137487491
2017541,137487626
2017570,137487524
2017659,137487463
2017692,137487508
2017803,137487553
2017860,137487471
2017864,137487506
2017962,137487587
2017981,137487586
2017988,137487492
2018007,137487541
2018044,137546572
2018047,137546668
2018063,137546512
2018112,137546604
2018169,137546748
2018261,137546489
2018280,137546719
2018281,137546540
2018283,137546607
2018304,137546535
2018310,137546580
2018350,137546500
2018383,137546612
2018392,137546739
2018420,137546637
2018437,137546703
2018446,137546756
2018481,137546565
2018492,137546649
2018537,137546670
2018541,137546731
2018585,137546678
2018619,137546495
2018631,137546740
2018642,137546542
2018667,137637502
2018677,137637625
2018685,137637547
2018701,137637558
2018709,137637517
2018739,137637514
2018799,137637482
2018827,137637719
2018855,137637632
2018868,137637702
2018906,137637683
2018927,137637743
2018930,137637574
2018931,137637565
2018949,137637763
2019050,137637778
2019076,137637647
2019109,137637584
2019140,137637704
2019174,137637515
2019199,137637766
2019227,137637769
2019230,137637619
2019239,137637559
2019258,137637729
2019297,137637767
2019316,137637762
2019349,137637630
2019352,137637621
2019396,137684097
2019444,137684017
2019477,137684059
2019481,137684190
2019504,137684189
2019518,137684215
2019542,137684004
2019553,137684163
2019575,137684315
2019608,137684089
2019658,137684129
2019662,137684289
2019709,137684296
2019713,137684199
2019720,137684028
2019761,137684114
2019828,137684211
2019877,137684203
2019881,137684071
2019893,137684312
2019900,137684287
2019912,137684294
2019928,137684309
2019959,137684286
2019979,137684099
2020029,137684210
2020086,137818672
2020175,137818532
2020185,137818564
2020280,137818457
2020307,137818557
2020364,137818562
2020383,137818597
2020387,137818593
2020393,137818748
2020437,137818692
2020439,137818612
2020444,137818468
2020452,137818488
2020463,137818740
2020498,137818627
2020581,137818550
2020638,137818715
2020703,137818641
2020763,137818723
2020811,137829519
2020818,137829409
2020820,137829637
2020830,137829601
2020876,137829543
2020966,137829579
2020997,137829480
2021060,137829699
2021099,137829700
2021100,137829453
2021157,137829701
2021161,137829627
2021165,137829575
2021174,137829623
2021216,137829665
2021440,137829675
2021457,137829569
2021470,137829598
2021488,137978704
2021501,137978682
2021571,137978755
2021633,137978692
2021643,137978687
2021736,137978696
2140360,120636655
2140389,120636654
2140424,120636583
2140446,120694653
2140491,120756067
2140493,120694622
2140538,120694656
2140552,120694711
2140561,120694687
2140601,120756060
2140621,120694619
2140642,120694659
2140644,120756085
2140651,120694681
2140686,120756063
2140780,120694705
2140782,120756069
2140807,120694618
2140841,120694679
2140862,120694635
2140897,120762290
2140909,120762334
2140937,120762215
2140955,120762325
2140982,120762279
2141003,120762182
2141150,120762316
2141152,120762265
2141175,120762224
2141179,120762295
2141193,120762343
2141255,120762216
2141318,120825199
2141339,120825315
2141385,120825325
2141387,120825218
2141401,120825163
2141413,120825170
2141436,120825201
2141466,120825183
2141544,120825333
2141652,120825281
2141655,120825262
2141658,120825165
2141697,120825332
2141736,120825175
2141746,120825302
2141753,120825224
2141781,120825243
2141783,120825240
2141787,120825221
2141812,120890597
2141852,120890621
2141865,120890626
2141927,120890615
2141928,120890500
2141932,120890537
2141938,120890463
2141959,120890467
2142026,120890628
2142052,120890550
2142070,120890516
2142074,120890594
2142080,120890496
2142091,120890464
2142095,120890603
2142111,120890510
2142183,120890620
2142186,120890455
2142191,120890605
2142244,120964043
2142272,120964018
2142279,120964023
2142280,120964133
2142372,120964145
2142405,120964158
2142433,120964031
2142451,120964128
2142490,120964026
2142501,120964167
2142508,120964094
2142522,120964116
2142575,120964005
2142628,120964102
2142633,120964016
2142657,120964036
2142663,120964078
2142669,120970221
2142675,120970265
2142730,120970287
2142778,120970297
2142913,120970303
2154965,122365575
2154980,122365569
2155012,122365656
2155064,122365708
2155080,122365584
2155148,122365726
2155220,122374096
2155278,122374058
2155343,122374070
2155467,122374137
2155506,122374123
2155869,122507855
2156061,122507782
2156069,122507850
2156072,122507789
2156074,122507795
2156089,122507854
2156121,122507766
2156123,122507788
2156155,122507787
2156178,122507824
2156245,122507746
2156343,122507729
2156404,122507732
2156425,122516439
2156435,122516527
2156488,122516316
2156490,122516522
2156514,122516373
2156529,122516474
2156537,122516464
2156545,122516390
2156550,122516334
2156581,122516426
2156669,122516492
2156685,122516463
2156693,122516510
2156718,122516434
2156720,122516359
2156733,122516498
2156757,122516461
2156782,122516432
2156807,122516303
2156809,122516317
2156839,122516293
2156848,122516443
2156879,122516356
2156906,122516438
2156933,122516336
2156939,122516296
2156965,122516422
2156988,122516502
2156992,122516521
2156998,122516325
2157008,122516459
2157024,122672625
2157059,122672736
2157135,122672848
2157184,122672838
2157192,122672629
2157208,122672726
2157213,122672802
2157247,122672699
2157290,122672769
2157305,122672839
2157356,122672797
2157418,122672698
2157428,122672843
2157489,122672832
2157495,122672637
2157508,122672756
2157519,122672720
2157524,122672846
